#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	7838	1121
6 -1 4 -1 -2	253	9
3 -1 1 -1 -2	2148	238
1 -1 1 -1 -2	7057	1641
1 -1 5 -1 -2	6100	673
5 -1 1 -1 -2	6159	644
5 -1 5 -1 -2	7697	452
1 4 -1 -2	1681	91
2 -1 6 -1 -2	339	19
5 -1 -2	8351	431
3 -1 3 -1 -2	2204	130
1 -1 4 -1 -2	1827	211
1 -1 3 -1 -2	2144	236
5 -1 3 -1 -2	2216	120
2 -1 3 -1 -2	1079	45
2 -1 -2	3487	210
4 -1 5 -1 -2	1909	86
3 4 -1 -2	592	24
3 -1 -2	2780	172
4 -1 3 -1 -2	761	31
4 5 -1 -2	1769	67
1 -1 2 -1 -2	2702	331
1 5 -1 -2	5856	561
1 2 -1 -2	2432	168
2 -1 1 -1 -2	2669	258
3 -1 6 -1 -2	262	12
4 -1 1 -1 -2	1818	186
5 -1 2 -1 -2	2906	123
2 -1 2 -1 -2	2785	173
3 5 -1 -2	2122	89
4 -1 -2	2342	133
4 -1 4 -1 -2	1787	90
4 -1 2 -1 -2	1025	55
3 -1 2 -1 -2	1066	73
6 -1 -2	769	24
1 6 -1 -2	555	27
1 -1 6 -1 -2	618	65
1 3 -1 -2	1990	133
4 -1 6 -1 -2	240	8
2 -1 5 -1 -2	2853	138
5 -1 6 -1 -2	630	26
2 5 -1 -2	2721	120
3 -1 5 -1 -2	2238	110
2 3 -1 -2	861	31
2 4 -1 -2	786	32
6 -1 5 -1 -2	608	33
6 -1 6 -1 -2	501	22
2 -1 4 -1 -2	996	54
2 6 -1 -2	246	9
6 -1 1 -1 -2	604	75
3 -1 4 -1 -2	767	34
5 -1 4 -1 -2	1935	99
6 -1 3 -1 -2	247	10
4 6 -1 -2	156	6
5 6 -1 -2	574	20
3 6 -1 -2	188	15
6 -1 2 -1 -2	340	6
